sample	elapsed_s	uptime_s	pid	cpu_user	cpu_nice	cpu_system	cpu_idle	cpu_iowait	cpu_irq	cpu_softirq	cpu_steal	proc_utime	proc_stime	proc_vsize_bytes	proc_rss_pages	vmrss_kb	vmhwm_kb	voluntary_ctxt	nonvoluntary_ctxt	memfree_kb	memavailable_kb	cached_kb
62	62	537.93	540	3594	0	2515	45697	243	0	69	0	2644	1064	87138304	3421	13684	14360	428645	6171	1872	26720	24864
63	63	539.01	540	3629	0	2530	45746	243	0	70	0	2675	1070	87138304	3421	13684	14360	429541	6181	1788	26636	24944
64	64	540.10	540	3664	0	2544	45795	243	0	70	0	2703	1075	87138304	3421	13684	14360	430441	6190	1908	26756	24828
65	65	541.19	540	3698	0	2559	45844	244	0	71	0	2732	1082	87138304	3421	13684	14360	431317	6224	1824	26676	24912
66	66	542.28	540	3735	0	2572	45892	244	0	71	0	2765	1086	87138304	3421	13684	14360	432204	6243	1740	26600	24992
67	67	543.35	540	3770	0	2586	45942	244	0	72	0	2795	1091	87138304	3421	13684	14360	433101	6253	1848	26708	24876
68	68	544.44	540	3806	0	2599	45992	244	0	72	0	2824	1096	87138304	3421	13684	14360	433988	6268	1764	26624	24960
69	69	545.54	540	3842	0	2614	46040	244	0	73	0	2855	1102	87138304	3421	13684	14360	434879	6280	1872	26732	24848
70	70	546.63	540	3878	0	2631	46090	244	0	73	0	2886	1108	87138304	3421	13684	14360	435778	6299	1800	26660	24924
71	71	547.71	540	3912	0	2645	46139	244	0	74	0	2914	1114	87138304	3421	13684	14360	436685	6320	1704	26576	25012
72	72	548.80	540	3946	0	2660	46188	244	0	74	0	2942	1121	87138304	3421	13684	14360	437556	6348	1812	26684	24896
73	73	549.90	540	3982	0	2675	46236	244	0	74	0	2973	1126	87138304	3421	13684	14360	438462	6370	1728	26604	24984
74	74	550.98	540	4017	0	2691	46286	244	0	74	0	3004	1133	87138304	3421	13684	14360	439360	6399	1848	26724	24864
75	75	552.07	540	4052	0	2706	46336	244	0	75	0	3034	1137	87138304	3421	13684	14360	440246	6427	1764	26640	24948
76	76	553.16	540	4091	0	2721	46384	244	0	75	0	3066	1141	87138304	3421	13684	14360	441141	6449	1872	26756	24836
77	77	554.25	540	4132	0	2733	46433	245	0	76	0	3099	1144	87138304	3421	13684	14360	442044	6462	1800	26684	24912
78	78	555.34	540	4169	0	2746	46483	245	0	77	0	3131	1148	87138304	3421	13684	14360	442956	6482	1716	26600	24996
79	79	556.45	540	4207	0	2761	46532	245	0	78	0	3161	1152	87138304	3421	13684	14360	443854	6503	1824	26708	24884
80	80	557.55	540	4242	0	2776	46581	245	0	78	0	3192	1158	87138304	3421	13684	14360	444745	6518	1740	26624	24968
81	81	558.65	540	4276	0	2794	46630	245	0	78	0	3221	1165	87138304	3421	13684	14360	445640	6536	1848	26740	24848
82	82	559.71	540	4311	0	2805	46679	245	0	79	0	3253	1169	87138304	3421	13684	14360	446538	6550	1752	26648	24936
83	83	560.81	540	4348	0	2817	46729	245	0	80	0	3282	1174	87138304	3421	13684	14360	447432	6565	1680	26576	25020
84	84	561.90	540	4385	0	2832	46778	245	0	81	0	3313	1180	87138304	3421	13684	14360	448324	6590	1788	26684	24904
85	85	562.99	540	4423	0	2846	46827	245	0	81	0	3345	1184	87138304	3421	13684	14360	449227	6600	1716	26612	24980
86	86	564.07	540	4456	0	2863	46877	245	0	82	0	3374	1190	87138304	3421	13684	14360	450123	6611	1824	26728	24868
87	87	565.17	540	4494	0	2876	46925	245	0	83	0	3406	1194	87138304	3421	13684	14360	451022	6618	1728	26636	24952
88	88	566.26	540	4530	0	2891	46973	245	0	83	0	3437	1200	87138304	3421	13684	14360	451918	6628	1856	26764	24828
